isin_normalizado,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,lista_afp,moneda_reportada,gestora_reportada,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,valor_max_reconciliado_miles_soles,aparece_modelo_principal,aparece_analisis_ampliado,formato_isin_valido,checksum_isin_valido,prefijo_isin,prioridad,clasificacion_identificador,estado_openfigi,mensaje,numero_resultados,numero_resultado,puntaje_seleccion,figi,compositeFIGI,shareClassFIGI,ticker,name,exchCode,marketSector,securityType,securityType2,securityDescription,metadata,seleccion_ambigua,mapeo_utilizable
PRIVFAETF6SC,2025-08-29,2026-01-30,6,1,Habitat,EUR,Triton Fund 6 General Partner SARL,0.0572223824321556,0.02903138775360555,0.0970240999662518,2540.1052878973123,True,True,False,False,PR,1100063.222382432,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
PRIVFAEIEF6S,2025-01-31,2026-01-30,13,1,Habitat,EUR,InfraVia GP VI Sàrl,0.0414638961782317,0.0323271923872798,0.0724675118066451,1666.8652684615604,True,True,False,False,PR,1100054.4638961782,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
CA69480U2065,2015-01-30,2015-01-30,1,1,Prima,CAD,Pacific Rubiale,0.0441227926087273,0.0441227926087273,0.0779888121066244,3543.392141052333,True,True,True,True,CA,1100045.1227926088,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
IE00BGGJJ945,2022-01-31,2024-09-30,33,1,Habitat,USD,Baillie Gifford | Baillie Gifford & Co Ltd,0.0105924328911613,0.0055971806834422,0.0277881649412413,224.8124591649984,True,True,True,True,IE,1100043.5924328913,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
AMERICAMOVIL,2015-01-30,2015-04-30,4,1,Integra,MXN,BON EMP PRI EXT,0.0287383723819486,0.0272417302065881,0.0481126963368286,2414.186835780756,True,True,False,False,AM,1100032.738372382,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
US05367G1004,2015-01-30,2015-11-30,11,1,Integra,USD,Avianca Holding,0.0003973007967107,0.0003144409361594,0.0006274546531491,34.401726540353806,True,True,True,True,US,1100011.3973007968,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
PRIVFAEVECIX,2025-11-28,2026-01-30,3,1,Habitat,USD,"Veritas Capital Partners IX, L.L.C",0.0023568117577971,0.0022460540613791,0.0039961205715484,102.29529642720829,True,True,False,False,PR,1100005.356811758,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
PRIVFAEICG9F,2025-11-28,2026-01-30,3,1,Habitat,EUR,ICG EUROPE FUND VI FEEDER LIMITED PARTNERSHIP,0.0004949905105964,0.0004774625160612,0.0008392871240443,21.972661045895176,True,True,False,False,PR,1100003.4949905106,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
US46090E103X,2025-05-30,2025-05-30,1,1,Integra,USD,BANK OF NEW YORK,3.2965062849613624,3.2965062849613624,5.723494708186302,97887.01870591262,False,True,False,False,US,103297.50628496136,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
IE00B8JGVH8X,2025-04-30,2025-12-31,9,1,Profuturo,JPY,Lazard Japan Asset Management K.K.,1.518979436241061,1.0489146782299934,2.483053879389104,47016.6805402938,False,True,False,False,IE,101527.97943624106,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
LU2091609516,2022-03-31,2023-02-28,12,1,Prima,EUR,Jupiter Unit,0.4734691005508681,0.1998621152039766,1.2121512636343827,21644.476635921565,False,True,True,True,LU,100485.46910055086,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
IE000NG9LZQX,2023-09-29,2023-09-29,1,1,Integra,USD,Moneda Latam HY,0.2950063302517955,0.2950063302517955,0.7474872512503108,12002.919236016778,False,True,False,False,IE,100296.0063302518,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
IE00BKLWXN8X,2025-06-30,2026-01-30,8,1,Integra,USD,THE VANGUARD GROUP INC.,3.1124208276783104e-05,3.0713623647635726e-05,5.2504039037098746e-05,0.9920182725873355,False,True,False,False,IE,100008.03112420828,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
IE00BKLWXM7X,2025-06-30,2026-01-30,8,1,Integra,USD,THE VANGUARD GROUP INC.,1.686210692694723e-05,1.6638683091412996e-05,2.844501978868248e-05,0.5371037137762802,False,True,False,False,IE,100008.01686210693,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
